index,doc_a,doc_b,label,type,score,D1,D2,D3,D4
60,SP26SE069,SP26SE091,0,Type_B,1.0,1.0,1.0,1.0,1.0
61,SP26SE119,SU26SE067,0,Type_B,1.0,1.0,1.0,1.0,1.0
62,SU26SE015,SP26SE024,0,Type_B,1.0,1.0,1.0,1.0,1.0
63,SP26SE019,SU26SE079,0,Type_B,1.0,1.0,1.0,1.0,1.0
64,SU26SE169,SP26SE069,0,Type_B,1.0,1.0,1.0,1.0,1.0
65,SP26SE042,SP26SE159,0,Type_B,1.0,1.0,1.0,1.0,1.0
66,SP26SE102,SU26SE039,0,Type_B,1.0,1.0,1.0,1.0,1.0
67,SP26SE065,SP26SE120,0,Type_B,1.0,1.0,1.0,1.0,1.0
68,SP26SE120,SP26SE123,0,Type_B,1.0,1.0,1.0,1.0,1.0
69,SP26SE052,SP26SE078,0,Type_B,1.0,1.0,1.0,1.0,1.0
70,SP26SE087,SP26SE102,0,Type_B,1.0,1.0,1.0,1.0,1.0
71,SP26SE054,SP26SE099,0,Type_B,1.0,1.0,1.0,1.0,1.0
72,SP26SE039,SU26SE165,0,Type_B,1.0,1.0,1.0,1.0,1.0
73,SP26SE110,SP26SE103,0,Type_B,1.0,1.0,1.0,1.0,1.0
74,SU26SE168,SU26SE019,0,Type_B,1.0,1.0,1.0,1.0,1.0
75,SU26SE029,SU26SE087,0,Type_B,1.0,1.0,1.0,1.0,1.0
76,SU26SE070,SP26SE069,0,Type_B,1.0,1.0,1.0,1.0,1.0
77,SP26SE134,SU26SE169,0,Type_B,1.0,1.0,1.0,1.0,1.0
78,SP26SE055,SP26SE128,0,Type_B,1.0,1.0,1.0,1.0,1.0
79,SU26SE094,SP26SE157,0,Type_B,1.0,1.0,1.0,1.0,1.0
80,SU26SE166,SU26SE082,0,Type_B,1.0,1.0,1.0,1.0,1.0
81,SP26SE087,SP26SE052,0,Type_B,1.0,1.0,1.0,1.0,1.0
82,SP26SE128,SU26SE079,0,Type_B,1.0,1.0,1.0,1.0,1.0
83,SP26SE088,SP26SE134,0,Type_B,1.0,1.0,1.0,1.0,1.0
84,SU26SE087,SP26SE001,0,Type_B,1.0,1.0,1.0,1.0,1.0
85,SU26SE061,SU26SE021,0,Type_B,1.0,1.0,1.0,1.0,1.0
86,SP26SE162,SP26SE086,0,Type_B,1.0,1.0,1.0,1.0,1.0
87,SP26SE061,SP26SE049,0,Type_B,1.0,1.0,1.0,1.0,1.0
88,SP26SE122,SP26SE055,0,Type_C,1.0,1.0,1.0,1.0,1.0
89,SP26SE038,SU26SE109,0,Type_C,1.0,1.0,1.0,1.0,1.0
90,SP26SE123,SU26SE063,0,Type_C,1.0,1.0,1.0,1.0,1.0
91,SP26SE038,SU26SE023,0,Type_C,1.0,1.0,1.0,1.0,1.0
92,SP26SE098,SU26SE116,0,Type_C,1.0,1.0,1.0,1.0,1.0
93,SU26SE022,SP26SE161,0,Type_C,1.0,1.0,1.0,1.0,1.0
94,SU26SE045,SP26SE024,0,Type_C,1.0,1.0,1.0,1.0,1.0
95,SP26SE161,SP26SE078,0,Type_C,1.0,1.0,1.0,1.0,1.0
96,SU26SE104,SP26SE048,0,Type_C,1.0,1.0,1.0,1.0,1.0
97,SU26SE021,SP26SE026,0,Type_C,1.0,1.0,1.0,1.0,1.0
98,SP26SE078,SP26SE011,0,Type_C,1.0,1.0,1.0,1.0,1.0
99,SU26SE087,SP26SE087,0,Type_C,1.0,1.0,1.0,1.0,1.0
100,SP26SE110,SU26SE091,0,Type_C,1.0,1.0,1.0,1.0,1.0
101,SU26SE026,SP26SE029,0,Type_C,1.0,1.0,1.0,1.0,1.0
102,SP26SE058,SU26SE043,0,Type_C,1.0,1.0,1.0,1.0,1.0
103,SP26SE012,SP26SE058,0,Type_C,1.0,1.0,1.0,1.0,1.0
104,SP26SE087,SU26SE166,0,Type_C,1.0,1.0,1.0,1.0,1.0
105,SP26SE104,SU26SE032,0,Type_C,1.0,1.0,1.0,1.0,1.0
106,SU27SE153,SU26SE030,0,Type_C,1.0,1.0,1.0,1.0,1.0
107,SP26SE068,SU26SE063,0,Type_C,1.0,1.0,1.0,1.0,1.0
108,SP26SE018,SU26SE048,0,Type_C,1.0,1.0,1.0,1.0,1.0
109,SP26SE162,SP26SE052,0,Type_C,1.0,1.0,1.0,1.0,1.0
110,SU26SE044,SU26SE031,0,Type_C,1.0,1.0,1.0,1.0,1.0
111,SP26SE149,SP26SE024,0,Type_C,1.0,1.0,1.0,1.0,1.0
112,SP26SE107,SU26SE019,0,Type_C,1.0,1.0,1.0,1.0,1.0
113,SP26SE128,SU26SE074,0,Type_C,1.0,1.0,1.0,1.0,1.0
114,SU26SE029,SU26SE021,0,Type_C,1.0,1.0,1.0,1.0,1.0
115,SP26SE129,SP26SE078,0,Type_C,1.0,1.0,1.0,1.0,1.0
116,SP26SE056,SP26SE078,0,Type_C,1.0,1.0,1.0,1.0,1.0
117,SP26SE051,SP26SE070,0,Type_C,1.0,1.0,1.0,1.0,1.0
118,SU26SE005,SP26SE158,0,Type_C,1.0,1.0,1.0,1.0,1.0
119,SP26SE001,SU26SE022,0,Type_C,1.0,1.0,1.0,1.0,1.0
120,SP26SE034,SU26SE079,0,Type_C,1.0,1.0,1.0,1.0,1.0
121,SP26SE056,SU26SE063,0,Type_C,1.0,1.0,1.0,1.0,1.0
122,SP26SE033,SP26SE078,0,Type_C,1.0,1.0,1.0,1.0,1.0
123,SU26SE064,SU26SE018,0,Type_C,1.0,1.0,1.0,1.0,1.0
124,SP26SE010,SU26SE031,0,Type_C,1.0,1.0,1.0,1.0,1.0
125,SU26SE015,SP26SE044,0,Type_C,1.0,1.0,1.0,1.0,1.0
126,SP26SE101,SU26SE083,0,Type_C,1.0,1.0,1.0,1.0,1.0
127,SU26SE094,SP26SE034,0,Type_C,1.0,1.0,1.0,1.0,1.0
128,SP26SE143,SP26SE057,0,Type_C,1.0,1.0,1.0,1.0,1.0
129,SP26SE150,SU26SE107,0,Type_C,1.0,1.0,1.0,1.0,1.0
130,SP26SE093,SU27SE153,0,Type_C,1.0,1.0,1.0,1.0,1.0
131,SU26SE070,SP26SE052,0,Type_C,1.0,1.0,1.0,1.0,1.0
132,SU26SE091,SU26SE032,0,Type_C,1.0,1.0,1.0,1.0,1.0
133,SP26SE103,SU26SE079,0,Type_C,1.0,1.0,1.0,1.0,1.0
134,SP26SE102,SP26SE109,0,Type_C,1.0,1.0,1.0,1.0,1.0
135,SP26SE019,SU26SE091,0,Type_C,1.0,1.0,1.0,1.0,1.0
136,SP26SE158,SP26SE019,0,Type_C,1.0,1.0,1.0,1.0,1.0
137,SP26SE133,SP26SE074,0,Type_C,1.0,1.0,1.0,1.0,1.0
